time;Acre;Alagoas;Amapá;Amazonas;Bahia;Ceará;Distrito Federal;Espírito Santo;Goiás;Maranhão;Mato Grosso;Mato Grosso do Sul;Minas Gerais;Paraná;Paraíba;Pará;Pernambuco;Piauí;Rio Grande do Norte;Rio Grande do Sul;Rio de Janeiro;Rondônia;Roraima;Santa Catarina;Sergipe;São Paulo;Tocantins;type
2020-04-10;70;45;166;981;604;1478;555;300;191;293;112;97;698;643;79;170;684;40;263;636;2464;32;63;693;42;8216;23;confirmed
2020-04-10;2;3;2;50;19;58;14;7;8;16;2;2;17;25;11;9;65;7;11;14;147;2;3;18;4;540;0;deaths
2020-04-11;72;48;193;1050;635;1582;579;349;209;344;121;100;750;676;85;217;816;41;289;640;2607;33;75;732;42;8419;23;confirmed
2020-04-11;2;3;3;53;21;67;14;9;10;21;3;2;17;26;11;10;72;7;13;15;155;2;3;21;4;560;0;deaths
2020-04-12;77;48;230;1206;673;1676;614;383;229;398;123;101;806;738;101;246;960;44;302;653;2855;35;79;768;44;8755;25;confirmed
2020-04-12;2;3;5;62;21;74;14;9;14;24;3;2;20;30;13;13;85;7;15;16;170;2;3;24;4;588;0;deaths
2020-04-13;90;50;242;1275;723;1800;638;430;233;445;134;113;815;756;111;270;1154;50;339;664;3231;42;83;777;44;8895;26;confirmed
2020-04-13;3;3;5;71;22;91;15;14;15;27;4;4;23;31;13;15;102;8;17;16;188;2;3;24;4;608;0;deaths
2020-04-14;99;72;307;1484;759;2005;651;463;284;478;138;115;884;791;136;323;1284;58;376;700;3410;64;113;826;45;9371;26;confirmed
2020-04-14;3;4;6;90;22;107;17;17;15;32;4;4;27;36;16;19;115;8;18;18;224;2;3;26;4;695;0;deaths
2020-04-15;101;82;334;1554;807;2157;682;557;304;630;151;121;903;803;151;384;1484;75;399;747;3743;69;114;853;46;11043;26;confirmed
2020-04-15;3;5;7;106;27;116;17;18;15;34;4;4;30;38;21;21;143;8;19;19;265;2;3;28;4;778;1;deaths
2020-04-16;110;89;362;1719;951;2386;716;754;318;695;156;131;958;832;165;438;1683;91;400;780;3944;76;142;884;48;11568;29;confirmed
2020-04-16;5;5;9;124;30;124;20;22;16;37;5;5;33;41;24;24;160;8;20;19;300;3;3;29;4;853;1;deaths
2020-04-17;135;110;370;1809;1059;2684;746;856;335;797;162;143;1021;874;195;557;2006;102;463;802;4349;92;164;926;53;12841;31;confirmed
2020-04-17;5;7;10;145;36;149;20;25;16;40;5;5;35;42;26;26;186;8;23;22;341;3;3;30;4;928;1;deaths
2020-04-18;142;132;393;1897;1193;3034;762;952;378;1040;171;161;1077;945;205;640;2193;123;516;831;4543;110;201;962;71;13894;33;confirmed
2020-04-18;5;7;10;161;37;176;24;28;18;44;5;5;39;46;26;33;205;9;24;24;387;3;3;31;5;991;1;deaths
2020-04-19;163;159;416;2044;1230;3252;827;1099;393;1205;174;168;1154;987;236;685;2459;145;531;854;4765;128;222;975;83;14267;33;confirmed
2020-04-19;6;15;11;182;45;186;24;30;18;48;5;5;39;48;29;34;216;10;25;24;402;4;3;32;5;1015;1;deaths
2020-04-20;176;171;433;2160;1341;3482;872;1168;403;1320;181;171;1189;1007;245;902;2690;158;595;889;4899;160;244;1025;86;14580;34;confirmed
2020-04-20;8;18;13;185;46;198;24;33;19;54;6;5;41;51;32;35;234;12;27;27;422;4;3;35;5;1037;1;deaths
2020-04-21;195;210;457;2270;1489;3716;881;1212;421;1396;181;173;1230;1024;263;1026;2908;186;608;904;5306;199;247;1063;92;15385;37;confirmed
2020-04-21;8;19;13;193;47;215;24;34;19;60;6;6;44;51;33;38;260;14;28;27;461;4;3;35;5;1093;1;deaths
2020-04-22;214;243;479;2479;1644;3910;946;1313;438;1604;183;175;1283;1063;301;1195;3298;206;646;923;5552;223;280;1091;117;15914;37;confirmed
2020-04-22;8;20;14;207;50;233;25;34;21;66;6;6;47;57;39;43;282;15;29;27;490;5;3;37;7;1134;1;deaths
2020-04-23;227;324;548;2888;1789;4598;963;1363;453;1757;221;186;1308;1082;345;1267;3519;217;708;994;6172;250;297;1115;124;16740;37;confirmed
2020-04-23;10;22;16;234;59;266;25;42;23;76;7;7;51;60;40;53;312;15;34;29;530;5;3;39;8;1345;2;deaths
